index	number	name	r	g	b		volume_left_name	DKT_nr	ind_arterial	r1	g1	b1
1	0	unknown	25	5	25	0	NaN	NaN	NaN	NaN	NaN	NaN
2	1	bankssts	25	100	40	0	NaN	NaN	NaN	NaN	NaN	NaN
3	2	caudalanteriorcingulate	125	100	160	0	leftcaudalanteriorcingulate	1	1002	0.85	0.26	0.26
4	3	caudalmiddlefrontal	100	25	0	0	leftcaudalmiddlefrontal	2	3004	0.8	0.8	0.85
5	4	corpuscallosum	120	70	50	0	NaN	NaN	NaN	NaN	NaN	NaN
6	5	cuneus	220	20	100	0	leftcuneus	3	2003	0.53	0.85	0.53
7	6	entorhinal	220	20	10	0	leftentorhinal	4	4001	0.7	0.7	0.7
8	7	fusiform	180	220	140	0	leftfusiform	5	2003	0.53	0.85	0.53
9	8	inferiorparietal	220	60	220	0	leftinferiorparietal	6	3004	0.8	0.8	0.85
10	9	inferiortemporal	180	40	120	0	leftinferiortemporal	7	2004	0.8	0.85	0.8
11	10	isthmuscingulate	140	20	140	0	leftisthmuscingulate	8	1004	0.85	0.8	0.8
12	11	lateraloccipital	20	30	140	0	leftlateraloccipital	9	2004	0.8	0.85	0.8
13	12	lateralorbitofrontal	35	75	50	0	leftlateralorbitofrontal	10	3004	0.8	0.8	0.85
14	13	lingual	225	140	140	0	leftlingual	11	2002	0.26	0.85	0.26
15	14	medialorbitofrontal	200	35	75	0	leftmedialorbitofrontal	12	1001	0.5	0	0
16	15	middletemporal	160	100	50	0	leftmiddletemporal	13	3004	0.8	0.8	0.85
17	16	parahippocampal	20	220	60	0	leftparahippocampal	14	2001	0	0.5	0
18	17	paracentral	60	220	60	0	leftparacentral	15	1004	0.85	0.8	0.8
19	18	parsopercularis	220	180	140	0	leftparsopercularis	16	3002	0.26	0.26	0.85
20	19	parsorbitalis	20	100	50	0	leftparsorbitalis	17	3002	0.26	0.26	0.85
21	20	parstriangularis	220	60	20	0	leftparstriangularis	18	3002	0.26	0.26	0.85
22	21	pericalcarine	120	100	60	0	leftpericalcarine	19	2002	0.26	0.85	0.26
23	22	postcentral	220	20	20	0	leftpostcentral	20	3004	0.8	0.8	0.85
24	23	posteriorcingulate	220	180	220	0	leftposteriorcingulate	21	1003	0.85	0.53	0.53
25	24	precentral	60	20	220	0	leftprecentral	22	3004	0.8	0.8	0.85
26	25	precuneus	160	140	180	0	leftprecuneus	23	1004	0.85	0.8	0.8
27	26	rostralanteriorcingulate	80	20	140	0	leftrostralanteriorcingulate	24	1001	0.5	0	0
28	27	rostralmiddlefrontal	75	50	125	0	leftrostralmiddlefrontal	25	3004	0.8	0.8	0.85
29	28	superiorfrontal	20	220	160	0	leftsuperiorfrontal	26	1003	0.85	0.53	0.53
30	29	superiorparietal	20	180	140	0	leftsuperiorparietal	27	3004	0.8	0.8	0.85
31	30	superiortemporal	140	220	220	0	leftsuperiortemporal	28	3002	0.26	0.26	0.85
32	31	supramarginal	80	160	20	0	leftsupramarginal	29	3003	0.53	0.53	0.85
33	32	frontalpole	100	0	100	0	NaN	NaN	NaN	NaN	NaN	NaN
34	33	temporalpole	70	20	170	0	NaN	NaN	3004	0.8	0.8	0.85
35	34	transversetemporal	150	150	200	0	lefttransversetemporal	30	3001	0	0	0.5
36	35	insula	255	192	32	0	leftinsula	31	3001	0	0	0.5
